"","tool","run","parameter","moment","value"
"114","nm7","0003","THETA3","estimate","0.0740226"
"115","nm7","0003","THETA3","prse",NA
"116","nm7","0003","THETA3","se",NA
"117","nm7","0003","THETA4","estimate","4.28528"
"118","nm7","0003","THETA4","prse",NA
"119","nm7","0003","THETA4","se",NA
"120","nm7","0003","THETA5","estimate","121.176"
"121","nm7","0003","THETA5","prse",NA
"122","nm7","0003","THETA5","se",NA
"123","nm7","0003","THETA6","estimate","0.846669"
"124","nm7","0003","THETA6","prse",NA
"125","nm7","0003","THETA6","se",NA
"126","nm7","0003","THETA7","estimate","1.90964"
"127","nm7","0003","THETA7","prse",NA
"128","nm7","0003","THETA7","se",NA
"129","nm7","0003","OMEGA1.1","estimate","0.11814"
"130","nm7","0003","OMEGA1.1","prse",NA
"131","nm7","0003","OMEGA1.1","se",NA
"132","nm7","0003","OMEGA2.1","estimate","0.0793852"
"133","nm7","0003","OMEGA2.1","prse",NA
"134","nm7","0003","OMEGA2.1","se",NA
"135","nm7","0003","OMEGA2.2","estimate","0.088735"
"136","nm7","0003","OMEGA2.2","prse",NA
"137","nm7","0003","OMEGA2.2","se",NA
"138","nm7","0003","OMEGA3.1","estimate","0.0126321"
"139","nm7","0003","OMEGA3.1","prse",NA
"140","nm7","0003","OMEGA3.1","se",NA
"141","nm7","0003","OMEGA3.2","estimate","-0.0254622"
"142","nm7","0003","OMEGA3.2","prse",NA
"143","nm7","0003","OMEGA3.2","se",NA
"144","nm7","0003","OMEGA3.3","estimate","0.0460121"
"145","nm7","0003","OMEGA3.3","prse",NA
"146","nm7","0003","OMEGA3.3","se",NA
"147","nm7","0003","SIGMA1.1","estimate","0.0498805"
"148","nm7","0003","SIGMA1.1","prse",NA
"149","nm7","0003","SIGMA1.1","se",NA
"150","nm7","0003","SIGMA2.1","estimate","0"
"151","nm7","0003","SIGMA2.1","prse",NA
"152","nm7","0003","SIGMA2.1","se",NA
"153","nm7","0003","SIGMA2.2","estimate","0.137838"
"154","nm7","0003","SIGMA2.2","prse",NA
"155","nm7","0003","SIGMA2.2","se",NA
"156","nm7","0003","cov","status","-1"
"157","nm7","0003","prob","text","0003 phase1 2 CMT like 1004 but diff. initial on V3"
"158","nm7","0003","min","status","0"
"159","nm7","0003","data","filename","../../1005bootdata/0003.csv"
"160","nm7","0004","ofv","minimum","1934.13102734914"
"161","nm7","0004","THETA1","estimate","9.25626"
"162","nm7","0004","THETA1","prse",NA
"163","nm7","0004","THETA1","se",NA
"164","nm7","0004","THETA2","estimate","27.2313"
"165","nm7","0004","THETA2","prse",NA
"166","nm7","0004","THETA2","se",NA
"167","nm7","0004","THETA3","estimate","0.0740026"
"168","nm7","0004","THETA3","prse",NA
"169","nm7","0004","THETA3","se",NA
"170","nm7","0004","THETA4","estimate","4.3164"
"171","nm7","0004","THETA4","prse",NA
"172","nm7","0004","THETA4","se",NA
"173","nm7","0004","THETA5","estimate","92.9973"
"174","nm7","0004","THETA5","prse",NA
"175","nm7","0004","THETA5","se",NA
"176","nm7","0004","THETA6","estimate","0.940994"
"177","nm7","0004","THETA6","prse",NA
"178","nm7","0004","THETA6","se",NA
"179","nm7","0004","THETA7","estimate","1.69769"
"180","nm7","0004","THETA7","prse",NA
"181","nm7","0004","THETA7","se",NA
"182","nm7","0004","OMEGA1.1","estimate","0.167043"
"183","nm7","0004","OMEGA1.1","prse",NA
"184","nm7","0004","OMEGA1.1","se",NA
"185","nm7","0004","OMEGA2.1","estimate","0.0930784"
"186","nm7","0004","OMEGA2.1","prse",NA
"187","nm7","0004","OMEGA2.1","se",NA
"188","nm7","0004","OMEGA2.2","estimate","0.0978341"
"189","nm7","0004","OMEGA2.2","prse",NA
"190","nm7","0004","OMEGA2.2","se",NA
"191","nm7","0004","OMEGA3.1","estimate","-0.00800534"
"192","nm7","0004","OMEGA3.1","prse",NA
"193","nm7","0004","OMEGA3.1","se",NA
"194","nm7","0004","OMEGA3.2","estimate","-0.0604644"
"195","nm7","0004","OMEGA3.2","prse",NA
"196","nm7","0004","OMEGA3.2","se",NA
"197","nm7","0004","OMEGA3.3","estimate","0.0686213"
"198","nm7","0004","OMEGA3.3","prse",NA
"199","nm7","0004","OMEGA3.3","se",NA
"200","nm7","0004","SIGMA1.1","estimate","0.04771"
"201","nm7","0004","SIGMA1.1","prse",NA
"202","nm7","0004","SIGMA1.1","se",NA
"203","nm7","0004","SIGMA2.1","estimate","0"
"204","nm7","0004","SIGMA2.1","prse",NA
"205","nm7","0004","SIGMA2.1","se",NA
"206","nm7","0004","SIGMA2.2","estimate","0.22623"
"207","nm7","0004","SIGMA2.2","prse",NA
"208","nm7","0004","SIGMA2.2","se",NA
"209","nm7","0004","cov","status","-1"
"210","nm7","0004","prob","text","0004 phase1 2 CMT like 1004 but diff. initial on V3"
"211","nm7","0004","min","status","0"
"212","nm7","0004","data","filename","../../1005bootdata/0004.csv"
"213","nm7","0005","ofv","minimum","2511.47760959027"
"214","nm7","0005","THETA1","estimate","10.2709"
"215","nm7","0005","THETA1","prse",NA
"216","nm7","0005","THETA1","se",NA
"217","nm7","0005","THETA2","estimate","22.0327"
"218","nm7","0005","THETA2","prse",NA
"219","nm7","0005","THETA2","se",NA
"220","nm7","0005","THETA3","estimate","0.0776886"
"221","nm7","0005","THETA3","prse",NA
"222","nm7","0005","THETA3","se",NA
"223","nm7","0005","THETA4","estimate","3.41239"
"224","nm7","0005","THETA4","prse",NA
"225","nm7","0005","THETA4","se",NA
"226","nm7","0005","THETA5","estimate","102.754"
"227","nm7","0005","THETA5","prse",NA
"228","nm7","0005","THETA5","se",NA
"229","nm7","0005","THETA6","estimate","1.25249"
"230","nm7","0005","THETA6","prse",NA
"231","nm7","0005","THETA6","se",NA
"232","nm7","0005","THETA7","estimate","1.15925"
"233","nm7","0005","THETA7","prse",NA
"234","nm7","0005","THETA7","se",NA
"235","nm7","0005","OMEGA1.1","estimate","0.198124"
"236","nm7","0005","OMEGA1.1","prse",NA
"237","nm7","0005","OMEGA1.1","se",NA
"238","nm7","0005","OMEGA2.1","estimate","0.0776862"
"239","nm7","0005","OMEGA2.1","prse",NA
"240","nm7","0005","OMEGA2.1","se",NA
"241","nm7","0005","OMEGA2.2","estimate","0.0680092"
"242","nm7","0005","OMEGA2.2","prse",NA
"243","nm7","0005","OMEGA2.2","se",NA
"244","nm7","0005","OMEGA3.1","estimate","-0.0332063"
"245","nm7","0005","OMEGA3.1","prse",NA
"246","nm7","0005","OMEGA3.1","se",NA
"247","nm7","0005","OMEGA3.2","estimate","-0.0431811"
"248","nm7","0005","OMEGA3.2","prse",NA
"249","nm7","0005","OMEGA3.2","se",NA
"250","nm7","0005","OMEGA3.3","estimate","0.0298021"
"251","nm7","0005","OMEGA3.3","prse",NA
"252","nm7","0005","OMEGA3.3","se",NA
