"","tool","run","parameter","moment","value"
"115","nm7",3,"THETA3","prse",NA
"116","nm7",3,"THETA3","se",NA
"117","nm7",3,"THETA4","estimate","4.47414"
"118","nm7",3,"THETA4","prse",NA
"119","nm7",3,"THETA4","se",NA
"120","nm7",3,"THETA5","estimate","991"
"121","nm7",3,"THETA5","prse",NA
"122","nm7",3,"THETA5","se",NA
"123","nm7",3,"THETA6","estimate","1.28017"
"124","nm7",3,"THETA6","prse",NA
"125","nm7",3,"THETA6","se",NA
"126","nm7",3,"THETA7","estimate","1.57108"
"127","nm7",3,"THETA7","prse",NA
"128","nm7",3,"THETA7","se",NA
"129","nm7",3,"OMEGA1.1","estimate","0.470613"
"130","nm7",3,"OMEGA1.1","prse",NA
"131","nm7",3,"OMEGA1.1","se",NA
"132","nm7",3,"OMEGA2.1","estimate","0.238156"
"133","nm7",3,"OMEGA2.1","prse",NA
"134","nm7",3,"OMEGA2.1","se",NA
"135","nm7",3,"OMEGA2.2","estimate","0.161982"
"136","nm7",3,"OMEGA2.2","prse",NA
"137","nm7",3,"OMEGA2.2","se",NA
"138","nm7",3,"OMEGA3.1","estimate","0.0317947"
"139","nm7",3,"OMEGA3.1","prse",NA
"140","nm7",3,"OMEGA3.1","se",NA
"141","nm7",3,"OMEGA3.2","estimate","-0.0116794"
"142","nm7",3,"OMEGA3.2","prse",NA
"143","nm7",3,"OMEGA3.2","se",NA
"144","nm7",3,"OMEGA3.3","estimate","0.0207566"
"145","nm7",3,"OMEGA3.3","prse",NA
"146","nm7",3,"OMEGA3.3","se",NA
"147","nm7",3,"SIGMA1.1","estimate","0.0531792"
"148","nm7",3,"SIGMA1.1","prse",NA
"149","nm7",3,"SIGMA1.1","se",NA
"150","nm7",3,"SIGMA2.1","estimate","0"
"151","nm7",3,"SIGMA2.1","prse",NA
"152","nm7",3,"SIGMA2.1","se",NA
"153","nm7",3,"SIGMA2.2","estimate","0.259773"
"154","nm7",3,"SIGMA2.2","prse",NA
"155","nm7",3,"SIGMA2.2","se",NA
"156","nm7",3,"cov","status","0"
"157","nm7",3,"prob","text","3 phase1 2 CMT like 1004 but diff. initial on V3"
"158","nm7",3,"min","status","0"
"159","nm7",3,"data","filename","../data/3.csv"
"160","nm7",4,"ofv","minimum","2656.76301540481"
"161","nm7",4,"THETA1","estimate","10.6586"
"162","nm7",4,"THETA1","prse",NA
